true_label,predicted_label,count,true_total,rate_in_true_class
maple_tree,oak_tree,23,100,0.23
willow_tree,oak_tree,23,100,0.23
dolphin,whale,20,100,0.2
pine_tree,oak_tree,20,100,0.2
ray,shark,19,100,0.19
clock,plate,18,100,0.18
bee,sunflower,17,100,0.17
rose,poppy,17,100,0.17
tulip,rose,16,100,0.16
bowl,plate,15,100,0.15
beetle,cockroach,14,100,0.14
dolphin,shark,14,100,0.14
whale,dolphin,14,100,0.14
plain,sea,13,100,0.13
tiger,lion,13,100,0.13
tulip,poppy,13,100,0.13
woman,man,13,100,0.13
bus,pickup_truck,12,100,0.12
cloud,sea,12,100,0.12
shark,dolphin,12,100,0.12
turtle,shark,12,100,0.12
man,chimpanzee,11,100,0.11
oak_tree,maple_tree,11,100,0.11
tulip,orchid,11,100,0.11
turtle,dolphin,11,100,0.11
beaver,lion,10,100,0.1
bed,couch,10,100,0.1
bicycle,motorcycle,10,100,0.1
camel,lion,10,100,0.1
couch,bed,10,100,0.1
girl,woman,10,100,0.1
poppy,rose,10,100,0.1
snail,caterpillar,10,100,0.1
sweet_pepper,apple,10,100,0.1
table,bed,10,100,0.1
bear,chimpanzee,9,100,0.09
bee,orchid,9,100,0.09
forest,willow_tree,9,100,0.09
lamp,cup,9,100,0.09
poppy,sunflower,9,100,0.09
ray,dolphin,9,100,0.09
rocket,skyscraper,9,100,0.09
table,chair,9,100,0.09
tank,pickup_truck,9,100,0.09
telephone,television,9,100,0.09
train,streetcar,9,100,0.09
tulip,sunflower,9,100,0.09
whale,shark,9,100,0.09
baby,woman,8,100,0.08
bear,elephant,8,100,0.08
